[2022-05-06 20:54:52,917] [24] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-06 20:54:52,984] [24] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-06 20:54:53,122] [24] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-06 20:54:53,129] [24] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-06 20:54:53,286] [24] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-06 20:54:53,356] [24] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-06 20:54:53,423] [24] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-06 20:54:53,490] [24] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-06 20:54:53,624] [24] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-06 20:54:53,778] [24] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-06 20:54:53,929] [24] 127.0.0.1 requested http://localhost/aboutINFO in __init__: Processing request
[2022-05-06 20:54:54,067] [24] 127.0.0.1 requested http://localhost/welcomeINFO in __init__: Processing request
[2022-05-06 20:54:54,202] [24] 127.0.0.1 requested http://localhost/page5INFO in __init__: Processing request
[2022-05-07 12:06:51,632] [9] 172.23.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-07 12:06:52,171] [9] 172.23.0.1 requested http://localhost/favicon.icoINFO in __init__: Processing request
[2022-05-07 12:06:55,045] [9] 172.23.0.1 requested http://localhost/songsINFO in __init__: Processing request
[2022-05-07 12:32:13,864] [19] 172.23.0.1 requested http://localhost/songsINFO in __init__: Processing request
[2022-05-07 12:32:17,467] [19] 172.23.0.1 requested http://localhost/songs/5INFO in __init__: Processing request
[2022-05-07 12:32:33,367] [19] 172.23.0.1 requested http://localhost/songs/4INFO in __init__: Processing request
[2022-05-07 12:32:36,780] [19] 172.23.0.1 requested http://localhost/songs/3INFO in __init__: Processing request
[2022-05-07 12:32:38,635] [19] 172.23.0.1 requested http://localhost/songs/5INFO in __init__: Processing request
[2022-05-07 12:32:46,403] [19] 172.23.0.1 requested http://localhost/songs/4INFO in __init__: Processing request
[2022-05-07 12:32:49,318] [19] 172.23.0.1 requested http://localhost/songs/3INFO in __init__: Processing request
[2022-05-07 12:32:51,736] [19] 172.23.0.1 requested http://localhost/songs/2INFO in __init__: Processing request
[2022-05-07 12:32:53,356] [19] 172.23.0.1 requested http://localhost/songsINFO in __init__: Processing request
[2022-05-07 12:33:00,045] [19] 172.23.0.1 requested http://localhost/songsINFO in __init__: Processing request
[2022-05-07 12:33:01,963] [19] 172.23.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-07 12:33:18,004] [19] 172.23.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-07 14:44:26,367] [9] 172.23.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-07 14:44:26,598] [9] 172.23.0.1 requested http://localhost/favicon.icoINFO in __init__: Processing request
[2022-05-07 14:44:30,915] [9] 172.23.0.1 requested http://localhost/songsINFO in __init__: Processing request
[2022-05-08 00:03:06,727] [15] 172.23.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:03:12,920] [15] 172.23.0.1 requested http://localhost/songsINFO in __init__: Processing request
[2022-05-08 00:03:19,387] [15] 172.23.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:03:23,351] [15] 172.23.0.1 requested http://localhost/songsINFO in __init__: Processing request
[2022-05-08 00:10:55,557] [9] 172.23.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:11:20,370] [9] 172.23.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-08 00:11:52,010] [9] 172.23.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-08 00:11:52,233] [9] 172.23.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:11:52,264] [9] 172.23.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-08 00:11:52,443] [9] 172.23.0.1 requested http://localhost/favicon.icoINFO in __init__: Processing request
[2022-05-08 00:12:01,326] [9] 172.23.0.1 requested http://localhost/songsINFO in __init__: Processing request
[2022-05-08 00:12:01,435] [9] 172.23.0.1 requested http://localhost/favicon.icoINFO in __init__: Processing request
[2022-05-08 00:12:11,176] [9] 172.23.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-08 00:13:00,015] [9] 172.23.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-08 00:15:49,017] [9] 172.26.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-08 00:15:53,235] [9] 172.26.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-08 00:15:54,826] [9] 172.26.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-08 00:19:09,269] [10] 172.29.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:19:11,857] [10] 172.29.0.1 requested http://localhost/songsINFO in __init__: Processing request
[2022-05-08 00:19:12,038] [10] 172.29.0.1 requested http://localhost/favicon.icoINFO in __init__: Processing request
[2022-05-08 00:19:13,069] [10] 172.29.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-08 00:19:20,564] [10] 172.29.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-08 00:19:20,879] [10] 172.29.0.1 requested http://localhost/songsINFO in __init__: Processing request
[2022-05-08 00:25:06,599] [10] 172.29.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-08 00:56:25,147] [26] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:56:25,403] [26] 127.0.0.1 requested http://localhost/dashboardINFO in __init__: Processing request
[2022-05-08 00:56:25,408] [26] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
[2022-05-08 00:56:25,505] [26] 127.0.0.1 requested http://localhost/loginINFO in __init__: Processing request
[2022-05-08 00:56:25,920] [26] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:56:26,118] [26] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:56:26,335] [26] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:56:26,538] [26] 127.0.0.1 requested http://localhost/INFO in __init__: Processing request
[2022-05-08 00:56:26,747] [26] 127.0.0.1 requested http://localhost/songs/uploadINFO in __init__: Processing request
[2022-05-08 00:56:26,878] [26] 127.0.0.1 requested http://localhost/registerINFO in __init__: Processing request
